Customer Age,Customer Gender,Product Purchased,Ticket Type,Ticket Subject,Ticket Status,Ticket Priority,Ticket Channel,Customer Satisfaction Rating,Purchase Year,Purchase Month,Response Duration (hrs)
41,0,29,3,13,0,3,3,4,2020,2,13.183333333333334
27,2,31,2,6,0,2,3,4,2021,4,21.133333333333333
23,0,21,3,12,0,1,2,3,2020,12,15.9
29,0,23,1,6,0,0,3,3,2021,7,1.75
19,0,14,2,15,0,2,1,4,2021,4,-16.933333333333334
21,1,16,3,6,0,0,0,4,2021,2,-9.666666666666666
27,0,8,1,8,0,3,2,3,2021,5,-5.966666666666667
70,2,31,2,11,0,0,2,5,2021,2,0.85
49,0,5,0,11,0,1,2,4,2020,1,2.9
53,0,13,3,5,0,2,1,1,2020,1,2.533333333333333
29,0,37,3,5,0,3,1,5,2021,10,3.2333333333333334
69,0,28,0,1,0,1,3,3,2020,11,-17.316666666666666
67,0,41,0,7,0,1,3,2,2021,11,2.5166666666666666
52,2,34,2,9,0,3,2,5,2020,9,-7.6
25,2,16,3,5,0,3,3,3,2020,1,8.883333333333333
23,2,28,3,0,0,2,1,2,2021,1,11.333333333333334
26,0,9,4,11,0,3,0,1,2021,10,-17.616666666666667
30,0,4,1,14,0,1,2,5,2020,3,12.183333333333334
33,1,8,3,6,0,0,0,3,2020,5,3.783333333333333
48,0,6,1,12,0,3,2,3,2021,2,4.116666666666666
45,2,0,4,9,0,1,2,5,2021,1,-0.9666666666666667
19,0,3,0,3,0,1,0,2,2020,12,-12.166666666666666
21,1,37,2,12,0,0,1,4,2020,9,1.7333333333333334
18,0,7,0,10,0,0,2,5,2021,11,-7.383333333333334
37,0,39,4,13,0,2,3,2,2021,3,-8.65
33,0,22,4,15,0,3,2,4,2020,10,13.833333333333334
35,2,26,3,13,0,0,2,2,2020,3,2.933333333333333
69,0,39,0,2,0,2,3,5,2020,12,-1.7666666666666666
30,2,17,1,3,0,1,0,5,2021,9,-15.083333333333334
32,1,6,4,8,0,2,2,4,2021,10,0.6333333333333333
29,0,28,0,0,0,0,0,3,2021,10,1.4333333333333333
54,1,7,1,6,0,0,2,2,2020,5,-1.7833333333333334
25,0,14,3,8,0,0,3,2,2021,4,3.433333333333333
29,2,28,2,1,0,1,3,4,2020,1,-2.7666666666666666
34,0,14,1,5,0,3,0,2,2020,11,9.716666666666667
48,0,4,4,10,0,1,1,4,2020,3,4.65
43,1,4,2,4,0,1,3,3,2020,4,-20.033333333333335
47,0,5,0,9,0,1,0,4,2020,8,8.233333333333333
46,0,35,0,6,0,0,2,1,2020,4,-4.583333333333333
60,1,20,4,6,0,3,2,1,2021,2,12.383333333333333
58,1,32,2,11,0,1,2,5,2020,2,-2.85
53,0,26,4,10,0,0,3,3,2021,4,8.8
41,1,17,1,4,0,3,0,2,2020,12,-10.5
63,1,32,1,0,0,2,1,5,2020,3,3.4166666666666665
50,2,28,4,9,0,3,1,4,2021,2,-9.883333333333333
64,2,26,1,8,0,3,0,3,2021,8,7.466666666666667
24,2,0,2,5,0,3,2,5,2021,3,-8.866666666666667
30,0,20,1,12,0,2,0,3,2020,9,-10.9
20,0,7,1,6,0,0,2,5,2020,12,3.1333333333333333
64,2,39,2,8,0,3,3,1,2021,3,7.5
65,2,4,2,1,0,3,1,1,2020,11,-1.75
33,0,4,1,6,0,2,1,5,2021,8,7.75
36,2,7,0,1,0,1,0,5,2020,6,7.45
66,2,41,0,9,0,2,3,3,2021,4,-8.616666666666667
36,0,36,4,4,0,3,1,3,2020,11,-9.316666666666666
21,1,25,4,11,0,0,3,4,2021,5,6.666666666666667
57,2,41,0,5,0,0,3,1,2021,5,2.283333333333333
43,1,3,0,9,0,3,2,4,2021,2,4.416666666666667
68,1,15,0,0,0,1,0,5,2020,5,4.616666666666666
67,2,6,3,14,0,3,0,3,2020,9,-3.3666666666666667
20,1,2,0,8,0,0,1,4,2021,1,4.466666666666667
62,1,41,3,14,0,3,3,3,2021,11,-11.866666666666667
51,2,33,0,11,0,1,3,2,2020,2,-5.466666666666667
38,1,25,3,7,0,2,0,5,2020,7,-4.983333333333333
64,2,26,3,9,0,1,1,4,2021,7,-1.05
59,2,35,2,0,0,0,2,1,2021,11,15.783333333333333
48,2,13,1,14,0,3,0,2,2020,6,-3.85
39,2,6,1,6,0,0,2,2,2020,9,7.25
29,2,41,2,8,0,0,2,5,2021,1,4.85
60,2,26,1,5,0,0,2,1,2021,5,10.8
67,0,39,4,9,0,3,2,1,2020,6,17.366666666666667
44,0,38,3,7,0,3,1,5,2021,4,1.35
31,0,7,4,15,0,2,2,4,2020,9,-7.033333333333333
47,2,29,4,4,0,2,0,5,2020,11,14.316666666666666
56,0,6,0,1,0,1,0,2,2020,4,2.533333333333333
69,0,15,3,4,0,3,0,1,2021,4,2.283333333333333
64,1,21,2,12,0,1,0,4,2020,7,-2.3333333333333335
53,1,29,2,4,0,1,1,2,2021,3,-6.383333333333334
42,1,26,2,11,0,1,0,4,2021,10,2.466666666666667
57,2,24,3,2,0,0,3,2,2021,3,-8.983333333333333
52,0,27,2,5,0,1,2,3,2021,5,-17.35
64,2,30,2,8,0,3,2,4,2021,10,1.05
66,1,38,2,8,0,3,2,2,2020,4,-5.383333333333334
67,0,16,3,5,0,2,0,5,2021,1,14.983333333333333
49,1,23,3,15,0,2,1,4,2020,6,14.616666666666667
41,0,36,1,2,0,3,3,4,2021,5,6.883333333333334
52,1,27,1,12,0,2,0,5,2020,11,2.683333333333333
34,2,25,3,11,0,3,0,1,2021,12,-1.65
20,2,2,1,3,0,3,0,2,2021,11,-0.7166666666666667
40,0,22,0,5,0,2,3,3,2020,6,8.25
44,0,33,0,2,0,2,2,3,2020,7,-18.766666666666666
37,2,20,3,10,0,2,3,2,2021,11,3.1666666666666665
67,0,41,1,15,0,0,0,4,2021,12,3.3833333333333333
19,2,32,2,1,0,0,3,5,2020,8,-8.616666666666667
36,1,28,1,0,0,2,1,1,2020,6,18.9
41,2,17,2,6,0,2,1,4,2021,5,-10.516666666666667
25,0,11,2,9,0,0,3,4,2020,12,8.983333333333333
33,0,17,4,14,0,0,3,5,2020,12,3.0166666666666666
21,0,8,3,15,0,1,3,5,2021,10,-2.15
23,2,31,4,13,0,1,3,4,2021,3,-7.966666666666667
62,2,10,3,1,0,3,3,1,2021,2,-2.35
36,1,21,4,15,0,3,3,2,2020,6,-2.6666666666666665
43,0,40,4,4,0,0,2,2,2020,4,4.766666666666667
43,2,25,2,9,0,1,3,4,2020,12,4.55
49,2,36,0,8,0,1,2,2,2021,3,3.1
21,1,7,3,13,0,1,3,2,2020,6,19.916666666666668
21,1,14,0,8,0,2,3,2,2021,4,-6.083333333333333
18,0,40,3,6,0,0,2,5,2020,5,-11.35
53,0,22,4,5,0,3,0,5,2020,9,9.066666666666666
25,2,37,1,12,0,3,2,5,2021,4,-10.533333333333333
68,0,13,2,3,0,3,1,4,2020,4,-4.3
66,0,1,4,8,0,1,1,2,2020,6,4.133333333333334
25,1,15,1,12,0,1,2,1,2020,4,5.633333333333334
39,1,30,1,8,0,2,0,4,2020,6,10.183333333333334
42,1,38,0,13,0,3,0,2,2021,2,-17.733333333333334
38,1,25,4,13,0,1,0,5,2021,3,1.4
54,0,40,0,5,0,1,0,4,2021,2,-1.0666666666666667
54,0,38,4,8,0,3,1,5,2020,12,-1.0666666666666667
21,1,9,3,12,0,0,1,3,2020,6,-1.9833333333333334
49,0,5,1,0,0,3,0,5,2020,6,6.016666666666667
38,1,16,4,7,0,2,2,2,2020,12,9.333333333333334
35,0,41,1,9,0,0,3,4,2020,8,-10.85
54,2,11,3,5,0,2,3,5,2021,12,-18.75
27,0,12,3,4,0,2,2,5,2021,1,9.966666666666667
52,0,21,0,7,0,3,1,5,2020,8,1.55
31,2,2,2,9,0,3,2,3,2020,7,1.5
65,1,16,0,7,0,1,0,4,2021,9,4.783333333333333
24,2,22,3,11,0,0,1,5,2021,3,19.4
30,0,41,1,9,0,3,0,5,2020,9,-18.433333333333334
58,2,3,0,15,0,2,1,5,2020,9,-5.2
58,2,37,1,6,0,0,1,4,2021,7,-2.45
66,2,0,1,3,0,0,3,1,2020,1,-8.783333333333333
19,2,7,1,8,0,0,1,1,2020,2,20.666666666666668
50,0,19,0,1,0,2,2,5,2020,7,-13.916666666666666
38,0,30,3,3,0,1,3,1,2021,8,-20.883333333333333
40,1,22,0,12,0,1,2,3,2021,2,-4.666666666666667
38,2,16,4,7,0,1,3,2,2020,10,19.45
56,2,18,3,0,0,3,1,5,2021,12,-0.6833333333333333
35,1,37,4,7,0,2,1,5,2021,1,-12.4
62,0,26,0,8,0,0,3,5,2021,8,4.2
27,2,11,4,8,0,2,0,5,2021,7,-4.483333333333333
62,0,9,0,2,0,1,2,4,2020,12,9.866666666666667
47,1,22,1,5,0,0,0,1,2020,7,-1.4166666666666667
25,1,13,0,3,0,0,3,2,2020,11,-2.05
29,0,5,2,4,0,0,1,1,2020,11,4.833333333333333
48,0,20,0,11,0,3,1,4,2021,12,10.516666666666667
53,2,10,3,1,0,3,1,1,2021,7,9.6
48,0,17,2,11,0,0,2,1,2021,5,6.133333333333334
50,2,10,1,6,0,0,0,2,2020,6,-20.416666666666668
21,1,25,1,10,0,3,1,5,2021,11,2.0166666666666666
66,1,1,0,15,0,2,3,2,2020,2,2.1333333333333333
63,0,23,0,8,0,1,2,4,2020,3,-3.55
63,1,35,3,13,0,2,3,2,2020,1,6.466666666666667
66,0,20,1,10,0,1,2,4,2020,7,4.816666666666666
63,2,24,3,5,0,0,0,3,2020,1,-5.883333333333334
59,1,25,0,9,0,3,1,5,2021,7,-8.5
56,2,6,2,12,0,0,3,4,2020,3,-13.5
65,0,36,3,15,0,3,3,1,2021,2,2.0166666666666666
28,0,34,1,15,0,0,3,3,2021,10,-17.816666666666666
67,1,21,3,8,0,1,2,5,2021,4,-15.533333333333333
40,0,8,3,3,0,3,0,1,2020,12,-3.6
34,0,30,4,8,0,2,0,1,2021,6,-7.816666666666666
55,2,8,4,1,0,3,0,2,2020,4,-1.9
38,0,27,2,1,0,3,2,3,2020,6,-0.8333333333333334
38,1,5,4,8,0,2,2,3,2020,1,-5.383333333333334
69,0,38,2,1,0,2,2,5,2021,2,17.066666666666666
70,1,14,0,2,0,1,0,5,2020,9,-10.216666666666667
31,1,41,0,14,0,2,1,5,2020,2,-1.25
33,0,14,0,9,0,0,2,5,2021,3,-5.3
45,0,25,3,3,0,0,1,5,2020,8,-4.783333333333333
20,1,15,2,8,0,2,3,2,2021,9,9.133333333333333
51,0,35,0,8,0,0,0,2,2020,10,-8.5
64,0,9,3,11,0,1,0,4,2020,4,-5.1
46,0,18,4,13,0,1,3,1,2020,1,-10.766666666666667
18,1,21,3,2,0,0,3,4,2021,2,-13.15
69,1,32,4,9,0,2,2,5,2021,1,-13.7
46,0,41,0,11,0,1,0,3,2020,2,2.55
58,2,25,3,10,0,1,2,1,2021,7,7.016666666666667
